name,city,country
Abu Dhabi Careem BIKE,Abu Dhabi,AE
Accès Vélo,Saguenay,CA
Aksu,阿克苏市 (Aksu City),CN
Alba,Alba,IT
AlbaBici,Albacete,ES
AlGira,Almeirim,PT
Almatybike,Almaty,KZ
Alsa nextbike León,León,ES
Ambici,Badalona,ES
Ambici,Castelldefels,ES
Ambici,Cornellà de Llobregat,ES
Ambici,El Prat de Llobregat,ES
Ambici,Esplugues de Llobregat,ES
Ambici,Gavà,ES
Ambici,Molins de Rei,ES
Ambici,Sant Boi de Llobregat,ES
Ambici,Sant Joan Despí,ES
Ambici,Sant Just Desvern,ES
Ambici,Santa Coloma de Gramenet,ES
Ambici,Viladecans,ES
Andria in Bici,Andria,IT
Aral,阿拉尔市 (Aral),CN
ARbike,Arezzo,IT
Arriva,Nitra,SK
ARVAL,Scandicci,IT
Ascoli Piceno,Ascoli Piceno,IT
AthensBikes,Athens,GR
ATX MetroBike,"Austin, TX",US
AuxR_M le vélo,Auxerre,FR
àVélo,Québec,CA
Aventura BCycle,"Aventura, FL",US
Avilés en Bici,Avilés,ES
AW-bike Ahrweiler,Ahrweiler,DE
Baksi,Antalya,TR
Çabis,Çanakkale,TR
Nilesplit,Nilüfer,TR
Batumvelo,Batumi,GE
Bay Wheels,"San Francisco Bay Area, CA",US
Pedaleando por Aller (BeALLER),Aller,ES
BelfastBikes,Belfast,GB
Bentonville BCycle,"Bentonville, AR",US
Bysykkel,Bergen,NO
Bergisches e-Bike,Bergisches e-Bike,DE
"Beryl - Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole",GB
Beryl - Brighton,Brighton,GB
Beryl - Cornwall,Cornwall,GB
"Beryl - Dorchester, Weymouth and Portland","Dorchester, Weymouth and Portland",GB
Beryl - Eastleigh,Eastleigh,GB
Beryl - Greater Manchester,Greater Manchester,GB
Beryl - Guildford,Guildford,GB
Beryl - Hereford,Hereford,GB
Beryl - Hertsmere,Hertsmere,GB
Beryl - Leeds,Leeds,GB
Beryl - Norwich,Norwich,GB
Beryl - Plymouth,Plymouth,GB
Beryl - Stevenage,Stevenage,GB
Beryl - Watford,Watford,GB
Beryl - West Midlands,West Midlands,GB
Beryl - Worcester,Worcester,GB
BIA,Ovar,PT
Bianzone in Bici,Bianzone,IT
BiBa,Badajoz,ES
BIBO,Boadilla del Monte,ES
Bici Bolzano,Bolzano,IT
BICI&CO,Como,IT
BiciFerrolTerra,Ferrol - Narón,ES
Bici in Busto,Busto Arsizio,IT
Bici Perugia,Perugia,IT
BiciAlcázar,Alcázar de San Juan,ES
BiciArousa,A Illa de Arousa,ES
biciArteixo,Arteixo,ES
BiciBur,Burgos,ES
Bicicas,Castelló de la Plana,ES
Bicicletar,Fortaleza,BR
Bicicoruña,A Coruña,ES
Bici Pública Cuenca,Cuenca,EC
Bicielx,Elx,ES
Bicikelj,Ljubljana,SI
BiciLog,Logroño,ES
BiciMAD,Madrid,ES
bicimia,Brescia,IT
BiciMislata,Mislata,ES
Bicincittà,Acquarica del Capo,IT
